FIPS,EP_POV150,EP_UNEMP,EP_NOHSDP,EP_NOVEH,EP_LIMENG,EP_MINRTY
25001010100,22.3,8.7,3.5,12.3,3.5,20.3
25001010206,10.4,1.1,1.0,7.6,0.0,13.7
25001010208,12.7,2.8,2.0,4.7,0.0,0.1
25001010304,6.8,6.7,1.1,0.9,0.5,8.8
25001010306,17.3,10.0,7.5,2.1,2.4,12.7
25001010400,17.8,0.0,1.1,6.9,0.4,5.0
25001010500,10.0,5.8,0.5,3.2,0.6,1.3
25001010600,11.5,5.5,2.2,5.7,0.2,3.8
25001010700,13.5,4.4,1.2,3.1,0.0,12.3
25001010800,8.1,14.7,1.0,6.3,0.0,4.4
25001010900,9.5,1.9,3.3,6.2,0.1,8.1
25001011002,10.4,12.2,2.6,2.1,0.1,17.7
25001011100,8.8,2.4,1.2,2.9,0.0,0.4
25001011200,9.0,5.0,1.6,6.0,0.4,5.1
25001011300,6.2,3.9,3.1,3.0,0.5,5.1
25001011400,11.6,6.9,1.4,3.0,0.0,4.0
25001011500,9.7,1.0,7.6,0.5,5.7,23.3
25001011600,17.6,13.5,3.8,6.6,1.1,10.5
25001011700,12.1,2.7,1.9,7.0,1.4,1.4
25001011801,7.8,1.0,1.9,6.5,0.0,4.9
25001011802,12.4,4.8,2.1,3.1,0.4,5.0
25001012001,8.6,8.6,5.4,3.1,5.9,16.7
25001012002,20.4,9.3,4.2,6.8,2.0,13.6
25001012101,10.4,3.9,6.2,4.5,1.9,36.5
25001012102,12.7,5.7,5.6,7.6,1.4,13.8
25001012200,1.8,0.2,4.1,2.0,0.3,3.4
25001012502,27.3,8.4,11.7,15.7,4.3,43.4
25001012601,14.9,6.5,3.2,6.2,2.6,19.3
25001012602,14.5,0.8,17.0,4.4,7.6,49.7
25001012700,6.6,3.3,3.7,1.5,7.6,16.7
25001012800,9.2,2.3,5.7,3.6,4.0,10.9
25001012900,14.1,3.4,5.0,0.4,1.0,24.2
25001013002,4.8,1.9,0.7,4.8,0.7,13.9
25001013100,6.3,4.2,3.8,0.0,0.5,4.0
25001013200,7.9,4.1,2.4,3.0,0.0,9.0
25001013300,13.3,4.4,2.5,5.5,0.0,7.5
25001013400,12.2,3.1,0.7,0.5,0.1,4.4
25001013500,4.8,3.1,1.5,0.0,0.3,11.5
25001013600,8.5,2.8,2.8,3.2,0.8,6.6
25001013700,13.5,1.7,6.0,6.7,1.1,8.6
25001013800,6.4,3.5,3.9,1.5,0.5,8.6
25001013900,25.3,1.4,0.4,2.5,0.0,10.0
25001014002,11.6,0.5,4.2,7.0,0.8,14.4
25001014100,12.6,9.9,4.3,10.0,1.1,16.2
25001014300,6.4,7.2,0.0,0.2,0.0,3.0
25001014402,10.0,9.0,7.3,0.4,1.7,14.6
25001014500,12.6,3.0,8.3,4.7,0.0,14.1
25001014600,9.9,3.1,4.7,8.9,2.1,12.1
25001014700,15.2,4.1,4.4,4.4,0.3,12.2
25001014800,31.8,3.3,7.4,20.8,3.3,21.5
25001014900,8.3,5.9,3.1,8.7,0.8,7.9
25001015001,9.3,5.1,3.0,0.5,0.1,10.4
25001015002,18.3,2.7,1.5,6.2,0.0,25.5
25001015100,12.7,5.5,1.7,11.5,0.8,8.8
25001015200,7.8,4.4,1.4,1.5,1.0,3.3
25001015300,36.0,2.0,20.8,21.5,7.6,51.5
25001990000,,,,,,
25003900100,45.2,9.6,15.1,39.8,1.7,35.6
25003900200,42.8,6.4,11.2,19.9,0.0,33.7
25003900300,17.8,5.0,1.4,4.3,0.0,22.7
25003900400,14.1,7.7,6.1,11.2,0.0,15.2
25003900500,13.4,5.9,6.9,5.2,2.8,9.4
25003900600,43.4,16.4,15.1,30.1,0.0,52.1
25003900700,11.0,8.5,4.3,15.4,0.0,7.2
25003900800,6.0,5.3,4.2,2.5,5.1,17.7
25003900900,23.3,6.5,5.3,7.2,0.0,17.9
25003901100,16.5,3.3,9.0,12.9,2.3,13.3
25003911100,9.4,1.5,5.3,0.0,1.4,1.6
25003912100,15.7,4.0,4.3,1.4,0.6,6.1
25003913100,12.1,9.0,5.9,9.8,1.2,8.4
25003914100,11.7,3.7,1.9,4.4,0.5,8.9
25003920101,12.0,1.3,2.2,9.3,0.0,17.2
25003920102,17.3,1.9,2.6,5.7,0.1,16.1
25003921300,33.5,2.1,13.7,8.4,0.0,17.0
25003921400,22.6,10.7,10.4,10.7,1.1,14.2
25003921500,23.0,9.0,4.9,10.1,0.0,9.2
25003922100,21.7,9.3,3.8,17.7,0.3,10.8
25003922200,22.9,3.8,10.7,20.4,0.3,3.9
25003922300,19.9,6.9,4.9,4.7,0.0,3.6
25003923100,10.2,6.2,6.9,4.0,0.9,10.0
25003924100,22.2,8.1,3.7,1.9,0.3,8.0
25003925101,6.4,0.0,3.0,5.2,0.0,26.9
25003925102,17.4,4.3,6.5,7.1,0.1,13.0
25003926100,11.7,3.0,4.6,2.6,0.0,9.2
25003931100,12.8,3.8,8.0,3.2,0.2,7.1
25003931300,16.1,7.7,7.9,1.9,0.0,4.0
25003931400,6.9,2.1,5.1,0.7,0.1,11.5
25003932200,14.3,2.8,3.6,1.6,1.5,9.3
25003932300,19.1,4.7,11.7,2.6,2.3,7.9
25003933200,11.1,4.8,9.4,0.0,0.0,5.3
25003933300,17.4,4.6,2.4,1.7,0.0,12.3
25003933400,10.6,5.3,9.9,1.8,0.3,6.6
25003934200,14.3,8.6,3.7,2.8,0.0,6.7
25003934300,13.0,1.7,6.0,0.6,0.8,6.1
25003935100,14.2,2.5,3.0,1.7,0.0,7.6
25003935200,13.4,5.5,4.7,7.8,0.2,6.9
25003935300,26.7,3.0,14.3,26.9,0.3,12.5
25005600100,10.4,0.3,3.2,2.7,0.3,21.7
25005600202,11.1,9.1,2.3,5.9,2.0,15.6
25005600203,11.6,6.5,2.3,1.6,0.9,14.1
25005600204,2.9,3.0,2.3,4.3,1.0,24.6
25005610100,13.5,7.4,2.9,6.9,0.7,19.5
25005610202,5.0,1.4,4.0,1.9,0.0,10.0
25005610203,1.8,3.0,2.3,6.6,0.9,11.8
25005610204,12.5,5.3,8.2,4.2,1.0,21.8
25005611101,9.4,3.4,4.9,6.3,0.3,9.6
25005611102,11.3,4.3,5.7,6.2,0.5,20.6
25005611201,8.8,5.7,12.3,0.0,0.0,20.1
25005611202,6.8,4.1,4.7,5.7,0.4,7.9
25005612100,13.0,8.1,10.1,9.5,2.5,7.5
25005612201,20.5,8.8,6.0,1.1,0.5,26.4
25005612202,6.9,3.8,9.3,2.7,2.9,19.2
25005613100,15.6,6.4,17.5,3.6,6.5,37.3
25005613300,8.4,5.7,7.3,4.1,1.0,18.6
25005613400,15.2,2.6,8.7,5.1,0.8,22.2
25005613600,34.6,11.3,16.9,9.7,6.6,31.2
25005613700,15.5,4.8,21.1,14.9,6.3,26.7
25005613800,37.3,7.2,18.4,23.3,10.3,30.8
25005613901,29.5,8.2,16.8,11.4,6.8,30.3
25005613902,14.0,1.8,20.3,3.2,3.5,20.9
25005614000,41.3,7.8,21.2,18.6,9.8,36.8
25005614101,15.0,1.6,10.2,5.3,2.1,21.7
25005614102,14.2,6.6,17.8,0.5,2.6,18.7
25005615100,7.0,6.4,4.0,2.6,0.3,8.8
25005616100,2.3,4.9,3.9,0.0,0.4,9.6
25005617101,6.7,5.5,3.7,1.8,0.0,4.7
25005617102,5.5,6.1,6.8,1.8,0.0,4.2
25005630101,20.7,2.6,9.5,6.5,3.2,35.2
25005630102,11.5,11.0,5.8,4.1,1.6,14.1
25005630201,14.7,2.7,5.8,1.3,0.0,6.3
25005630202,7.4,4.5,3.2,0.7,0.1,14.0
25005630301,7.1,9.8,6.0,3.6,0.6,9.9
25005630302,1.8,0.6,6.8,4.3,1.0,11.7
25005630400,8.2,5.3,3.3,10.1,0.4,12.7
25005631101,20.8,7.2,9.2,11.4,1.8,14.2
25005631102,10.1,3.7,6.9,4.6,3.4,14.6
25005631200,8.4,3.0,8.6,6.8,1.0,18.1
25005631300,9.8,3.1,6.0,4.1,3.3,15.6
25005631400,28.8,5.2,19.0,21.2,7.9,47.0
25005631500,24.2,3.5,16.3,1.0,2.7,17.9
25005631600,35.4,6.3,20.2,17.3,7.3,40.4
25005631700,8.4,5.5,8.3,5.5,0.0,7.7
25005631800,18.7,4.0,7.3,7.5,1.3,13.5
25005632100,5.7,4.4,3.9,2.3,1.6,13.6
25005632200,9.3,6.6,10.3,4.9,1.0,9.1
25005633100,9.9,6.1,4.8,2.8,1.0,3.6
25005633200,5.6,1.2,6.5,1.4,0.3,4.6
25005640100,21.1,5.3,22.7,12.2,7.7,29.7
25005640201,42.0,5.8,50.3,12.9,12.3,57.2
25005640202,39.1,3.5,32.7,29.4,16.6,24.4
25005640300,23.2,9.9,15.6,18.3,4.5,35.1
25005640400,34.0,10.8,18.6,16.7,3.1,27.2
25005640500,34.6,2.3,25.0,26.9,19.2,29.4
25005640600,37.1,4.2,38.7,14.7,16.0,24.9
25005640700,23.3,8.5,14.5,3.1,12.3,20.1
25005640800,16.7,5.4,24.0,6.8,11.1,34.5
25005640901,23.3,23.6,23.6,16.8,9.7,44.1
25005641000,31.6,2.7,39.3,22.8,10.4,35.0
25005641101,66.1,10.7,33.4,33.4,5.7,35.5
25005641200,43.9,10.5,38.1,18.0,12.5,23.1
25005641300,43.3,9.2,33.4,18.6,18.2,37.2
25005641400,40.5,5.3,22.3,28.0,17.5,48.0
25005641500,25.4,10.2,14.5,27.8,5.4,22.8
25005641600,28.4,9.5,14.7,7.5,5.1,16.8
25005641700,19.0,5.9,22.3,5.8,4.9,11.7
25005641800,20.8,8.3,15.9,15.4,8.7,18.9
25005641900,35.0,19.5,34.5,16.7,14.2,47.0
25005642000,45.6,10.4,23.5,13.5,9.2,36.7
25005642100,25.3,15.3,14.6,19.4,2.9,22.6
25005642200,21.6,6.5,24.2,11.2,7.0,25.6
25005642300,10.1,2.4,7.0,4.5,5.1,24.4
25005642400,16.3,6.1,16.4,7.1,3.9,15.1
25005642500,6.7,6.3,15.7,1.8,6.3,17.2
25005644101,5.1,2.7,5.5,5.1,0.3,2.4
25005644102,10.2,4.0,8.9,1.6,2.1,8.8
25005644200,8.2,2.1,10.5,3.4,0.8,8.0
25005645101,7.1,5.2,8.0,6.8,1.0,6.2
25005645102,4.5,6.5,12.5,0.7,1.0,13.1
25005645103,6.0,5.0,11.6,1.2,1.5,9.3
25005646101,9.9,2.4,13.2,3.3,0.8,5.9
25005646103,9.6,4.4,6.9,0.4,0.9,4.9
25005646104,9.2,2.3,4.1,4.8,0.0,1.4
25005650101,15.1,5.3,18.5,6.2,7.2,22.3
25005650102,24.6,6.0,20.2,6.8,1.8,30.4
25005650201,11.3,4.1,15.0,4.5,3.6,30.5
25005650202,22.1,6.6,22.9,3.0,4.2,25.3
25005650300,7.5,1.5,18.8,6.1,5.0,16.0
25005650400,31.5,11.3,19.3,17.1,7.3,28.6
25005650500,19.2,3.6,21.4,7.7,15.7,36.9
25005650600,38.1,11.3,28.7,46.0,15.4,41.2
25005650700,47.9,8.5,44.8,34.8,26.1,69.8
25005650800,47.2,14.0,35.3,22.6,14.1,61.0
25005650900,60.9,12.3,25.5,19.5,9.6,69.3
25005651001,22.7,5.0,16.5,6.2,2.1,23.3
25005651002,22.2,3.0,8.4,5.5,1.8,43.4
25005651100,40.7,5.1,23.6,25.8,9.5,48.9
25005651200,50.8,3.4,30.0,22.5,18.1,61.6
25005651300,44.8,7.0,24.8,26.5,6.2,51.2
25005651400,40.6,9.6,26.0,21.2,5.9,49.2
25005651500,30.1,5.1,15.5,17.5,6.3,54.1
25005651600,26.7,8.2,15.8,8.1,1.1,43.6
25005651700,38.6,11.1,18.8,33.5,5.8,66.8
25005651800,61.0,3.5,37.5,50.3,2.8,50.0
25005651900,59.6,10.1,33.8,23.8,23.0,84.0
25005652000,28.1,6.8,28.8,25.9,5.4,40.8
25005652100,13.0,4.9,24.8,3.7,2.4,30.0
25005652200,19.3,8.1,15.4,7.8,1.1,16.0
25005652300,44.6,21.9,27.8,13.6,6.3,42.5
25005652400,30.9,4.4,41.0,18.1,11.9,40.2
25005652500,35.9,4.1,30.4,24.2,13.5,35.0
25005652600,49.4,15.6,37.5,35.4,14.9,59.1
25005652700,35.7,6.8,25.7,25.1,7.1,40.5
25005652800,8.1,8.0,24.4,5.6,9.9,31.0
25005653101,13.3,2.7,15.4,8.4,0.9,14.6
25005653102,5.5,2.8,18.2,2.3,1.1,16.6
25005653203,24.2,2.4,16.6,10.8,3.0,13.3
25005653204,11.1,4.2,12.8,2.6,4.4,5.5
25005653301,8.2,4.2,11.4,8.8,1.6,12.1
25005653304,3.4,1.4,7.8,2.9,1.3,4.4
25005654100,8.3,2.3,8.0,1.6,1.8,8.0
25005654200,17.3,5.1,8.5,6.4,0.4,8.1
25005655100,6.6,5.4,7.2,4.5,1.4,6.6
25005655200,21.4,5.2,9.2,9.7,3.2,5.8
25005655300,13.3,4.7,9.9,9.6,2.5,10.9
25005655400,12.3,4.9,5.3,2.7,1.0,3.3
25005985500,9.5,7.2,10.3,1.0,0.8,27.2
25005985600,11.2,6.0,1.8,4.9,1.3,18.6
25005990000,,,,,,
25007200100,16.9,3.3,9.8,10.0,10.3,28.7
25007200200,14.1,12.9,4.5,2.9,6.2,17.2
25007200300,14.5,7.5,7.3,2.1,0.4,14.8
25007200400,5.9,4.6,1.9,0.8,3.5,15.7
25007990000,,,,,,
25009201100,10.6,4.2,2.4,1.5,0.1,5.8
25009202101,6.4,3.1,6.1,11.8,0.9,16.0
25009202103,20.2,5.5,4.8,9.5,4.4,7.3
25009202104,21.9,9.8,1.8,10.5,1.3,12.9
25009202200,5.2,2.6,3.1,3.8,0.4,12.9
25009203100,5.7,3.1,0.4,1.8,1.6,6.6
25009203200,5.6,0.4,1.5,1.8,0.2,9.6
25009203301,7.2,2.5,1.5,6.0,0.1,4.7
25009203302,7.2,7.3,0.0,5.1,1.4,8.5
25009204101,19.5,8.2,3.1,9.1,2.4,20.9
25009204102,16.2,2.1,2.5,7.2,0.9,29.0
25009204200,17.5,8.8,11.0,25.1,3.5,35.9
25009204300,37.9,7.1,21.3,40.2,15.1,60.2
25009204400,15.4,6.6,9.1,20.1,6.9,14.6
25009204500,10.7,3.1,3.1,15.7,1.0,15.2
25009204600,17.4,1.9,2.2,7.8,1.3,19.1
25009204701,14.7,5.8,5.9,8.5,7.9,43.4
25009204702,22.6,1.9,11.9,10.1,7.1,31.4
25009205100,13.7,3.3,12.8,4.2,8.7,44.6
25009205200,19.0,9.8,23.3,9.9,18.8,60.3
25009205300,13.0,3.3,4.6,6.6,5.1,32.4
25009205400,11.1,4.7,9.7,3.8,3.9,26.4
25009205500,19.6,5.5,18.4,15.2,14.7,58.0
25009205600,29.9,3.0,14.1,6.3,3.9,53.0
25009205700,6.5,1.1,11.6,3.4,6.9,53.4
25009205800,24.6,5.9,22.4,17.2,14.0,69.4
25009205900,18.3,3.4,19.9,11.9,8.1,65.5
25009206000,16.0,3.4,33.7,22.4,25.9,78.4
25009206100,36.8,14.0,38.4,19.9,31.0,87.9
25009206200,25.3,8.6,37.4,20.6,19.8,87.4
25009206300,27.1,5.4,28.8,8.6,16.1,73.6
25009206400,21.7,2.8,20.7,7.2,15.0,70.4
25009206500,37.2,4.0,33.8,21.3,19.1,79.7
25009206600,22.4,10.2,23.5,13.0,20.0,64.2
25009206700,23.7,3.7,16.3,26.7,14.9,53.2
25009206800,57.7,16.3,44.3,53.4,28.4,80.1
25009206900,50.6,8.2,16.3,31.8,32.0,64.1
25009207000,50.7,8.9,34.3,37.5,23.1,82.7
25009207100,18.7,0.8,35.9,15.8,26.1,82.7
25009207200,30.9,0.0,33.0,42.5,24.6,78.4
25009208101,14.0,8.5,10.9,2.9,4.1,24.8
25009208102,10.4,1.6,7.6,6.0,0.6,27.8
25009208200,14.7,0.4,12.3,10.3,5.6,17.0
25009208301,14.9,0.9,12.3,10.0,1.3,23.9
25009208302,7.4,3.5,9.6,2.5,4.9,30.3
25009208401,19.8,2.4,8.0,1.6,1.1,11.0
25009208402,12.2,3.0,4.2,12.8,2.0,19.6
25009209100,12.3,6.8,2.9,7.6,4.7,23.0
25009209200,4.6,1.8,2.9,2.2,0.7,11.9
25009210100,6.6,1.5,7.6,0.6,2.2,9.1
25009210200,3.5,3.2,4.7,3.1,0.0,6.5
25009210301,6.0,8.0,6.7,30.9,1.9,6.2
25009210302,11.7,4.1,5.2,3.8,3.3,15.6
25009210401,12.8,1.8,4.6,3.4,8.0,44.4
25009210402,13.5,4.5,8.3,1.4,2.9,14.9
25009210500,12.3,5.1,4.4,7.6,1.8,13.0
25009210600,11.6,5.6,9.2,9.5,4.0,21.8
25009210700,17.0,7.1,18.4,10.8,18.2,48.8
25009210800,16.7,4.5,15.3,17.2,12.9,43.8
25009210900,13.6,5.9,18.9,17.5,7.1,13.4
25009211100,9.6,9.8,6.3,5.2,0.2,11.2
25009211201,3.4,2.8,8.8,0.0,0.8,4.5
25009211202,8.3,4.9,2.4,5.3,0.5,12.4
25009211300,2.7,4.5,4.5,9.8,0.3,7.7
25009211401,13.5,2.5,8.1,7.8,6.5,18.4
25009211402,5.5,4.9,5.2,3.9,2.7,13.5
25009212101,4.9,3.7,13.7,1.2,3.2,17.0
25009212102,9.1,3.5,5.0,1.0,2.1,5.6
25009213100,1.5,4.1,2.4,0.0,0.8,7.7
25009214100,5.6,4.6,3.5,3.9,1.8,14.7
25009215101,7.1,0.9,1.4,3.0,0.2,9.5
25009215102,7.4,1.2,1.8,3.5,0.1,2.9
25009216100,9.3,2.6,0.8,3.7,0.6,10.5
25009217101,18.8,2.1,2.3,14.7,1.0,12.4
25009217102,7.3,3.8,2.3,18.9,2.8,18.4
25009217201,6.9,0.9,3.5,4.7,1.9,7.1
25009217202,8.3,2.4,4.1,4.8,1.0,9.9
25009217300,25.0,6.7,5.1,8.7,2.4,32.6
25009217401,30.3,0.0,2.9,22.6,4.1,16.0
25009217402,20.9,2.8,7.0,9.6,4.1,21.7
25009217500,12.3,5.7,2.0,17.6,1.0,13.0
25009217601,12.0,3.8,2.6,6.5,0.5,11.9
25009217602,11.8,2.0,1.5,0.0,0.3,9.8
25009218100,6.2,5.0,0.4,0.6,0.6,6.2
25009220101,9.5,4.6,2.1,8.1,0.2,6.4
25009220102,13.1,13.1,7.5,5.7,0.3,4.6
25009221100,12.9,13.5,4.0,3.9,1.4,4.8
25009221300,6.8,6.5,0.8,4.6,0.0,2.9
25009221400,38.5,3.6,10.2,9.8,11.0,22.3
25009221500,23.7,5.2,13.9,22.9,6.5,9.9
25009221600,31.3,3.7,3.1,14.4,2.6,27.6
25009221700,19.8,3.3,6.2,5.0,4.1,8.3
25009221800,10.2,7.4,5.0,0.0,0.1,6.1
25009221901,6.2,6.1,1.9,8.7,0.0,4.6
25009221902,8.8,1.7,6.0,7.6,0.6,8.9
25009222100,12.7,1.3,4.6,1.3,0.8,2.0
25009223100,10.8,4.3,1.9,9.1,0.3,7.1
25009223200,11.7,1.4,4.9,7.2,1.1,12.2
25009223300,7.4,2.4,0.6,2.8,0.7,6.0
25009250100,39.0,14.4,28.0,41.7,32.5,83.2
25009250200,13.4,14.0,22.0,10.0,15.3,86.7
25009250300,33.9,6.4,19.5,20.7,38.2,96.5
25009250400,38.3,12.2,40.9,25.9,27.4,95.8
25009250500,40.3,11.0,36.5,18.3,32.7,94.1
25009250600,28.1,9.2,28.7,10.0,27.0,88.7
25009250700,27.2,9.4,26.5,15.3,31.0,92.7
25009250800,34.1,9.5,21.1,22.5,19.2,83.6
25009250900,61.6,12.6,38.9,33.3,40.9,98.7
25009251000,44.5,14.3,48.5,28.2,36.1,93.9
25009251100,51.6,7.7,44.0,68.6,36.1,79.3
25009251200,48.1,10.9,44.5,47.4,38.0,97.5
25009251300,54.6,16.3,54.0,42.4,32.0,94.8
25009251400,43.5,13.9,33.3,21.6,28.2,90.9
25009251500,33.9,9.9,24.0,24.1,18.7,87.0
25009251600,32.2,12.4,27.4,18.7,33.6,88.8
25009251700,27.4,7.7,16.1,11.0,21.6,81.7
25009251800,18.5,5.0,18.2,5.3,9.9,68.2
25009252101,14.8,4.7,8.1,7.2,7.1,41.1
25009252102,2.7,5.2,2.5,2.9,0.4,29.7
25009252201,14.5,1.9,14.5,2.2,5.6,29.9
25009252202,4.3,2.6,4.8,2.9,3.5,24.8
25009252300,25.6,9.9,18.4,14.7,13.6,59.4
25009252400,27.0,9.8,18.3,11.8,13.7,66.8
25009252501,17.0,8.2,15.8,3.7,6.3,51.0
25009252502,24.9,8.6,8.2,5.5,4.7,41.6
25009252601,10.0,7.2,8.1,2.0,4.0,37.4
25009252602,3.3,3.1,4.6,1.5,2.6,30.1
25009252603,5.0,2.9,9.3,4.1,3.3,28.5
25009253100,20.6,4.1,4.7,6.5,4.9,19.6
25009253201,6.6,4.1,4.5,8.6,2.7,10.0
25009253202,21.1,4.1,3.8,7.1,3.2,32.8
25009253203,6.4,1.5,2.1,4.2,0.7,16.2
25009253204,2.0,2.0,4.2,5.3,2.3,26.2
25009253205,1.1,2.1,0.0,0.0,0.6,8.4
25009254100,5.8,2.6,1.0,2.0,1.6,17.0
25009254200,12.3,9.9,4.0,9.4,1.8,23.6
25009254301,8.5,5.2,6.3,0.6,1.5,20.5
25009254302,3.2,1.0,1.5,0.6,1.3,32.8
25009254401,5.0,4.5,2.6,0.0,0.9,37.4
25009254402,7.7,3.5,3.0,0.9,2.3,46.0
25009254403,1.3,5.7,2.3,0.9,1.1,22.9
25009260100,58.6,22.3,23.3,29.2,10.6,60.9
25009260200,34.9,9.7,15.7,23.9,7.8,39.3
25009260301,13.0,3.8,4.7,2.8,2.3,20.1
25009260302,3.3,3.5,5.9,6.3,0.6,15.0
25009260401,12.8,6.1,3.9,3.1,0.5,20.7
25009260402,6.4,4.6,6.7,1.0,2.8,24.3
25009260500,7.0,4.5,8.1,3.0,5.3,29.3
25009260600,20.2,3.0,14.9,3.0,3.2,53.3
25009260700,24.9,10.3,12.6,7.7,1.8,33.8
25009260800,28.4,6.1,16.6,10.9,7.9,62.3
25009260900,24.1,0.8,8.5,13.4,3.9,38.7
25009261000,12.9,1.4,9.1,4.8,1.5,35.2
25009261101,3.3,6.1,2.6,2.7,0.1,6.7
25009261102,9.8,3.0,5.4,0.9,2.7,33.2
25009262100,10.7,2.5,5.5,4.9,0.0,7.7
25009263100,7.3,3.8,2.1,1.9,0.2,12.8
25009264100,7.6,3.4,5.1,1.9,0.6,5.7
25009265101,4.6,0.9,3.6,2.7,0.7,7.8
25009265102,3.5,1.2,1.7,9.2,0.1,11.3
25009266100,5.9,4.3,1.4,2.4,0.4,11.6
25009266200,20.1,3.2,5.0,10.1,0.7,10.3
25009266300,14.3,1.9,6.0,11.1,0.2,15.0
25009266400,12.8,8.4,4.8,3.3,0.3,10.7
25009267102,9.2,8.7,7.5,1.3,0.6,17.2
25009267103,10.7,3.4,5.7,8.3,0.0,3.3
25009267104,12.3,3.7,3.2,10.7,0.3,14.7
25009268100,6.8,3.4,1.8,2.4,0.3,14.1
25009268200,9.2,5.9,2.0,4.5,2.7,4.3
25009268300,14.1,3.8,5.9,7.6,1.2,8.9
